Time (CET)	Latitude	Longitude	Course	kts	mph	meters	Rate	Reporting Facility
Sat 18:18:04	-17.5264	-174.7251	↙ 231°				 Level	 FlightAware Approximate
Sat 18:19:31	-17.6397	-174.8707	↙ 231°				 Level	 FlightAware Approximate
Sat 18:20:54	-17.7476	-175.0101	↙ 232°				 Level	 FlightAware Approximate
Sat 18:22:16	-17.8525	-175.1490	↙ 232°				 Level	 FlightAware Approximate
Sat 18:23:39	-17.9586	-175.2899	↙ 232°				 Level	 FlightAware Approximate
Sat 18:25:01	-18.0633	-175.4294	↙ 232°				 Level	 FlightAware Approximate
Sat 18:26:28	-18.1743	-175.5770	↙ 232°				 Level	 FlightAware Approximate
Sat 18:27:46	-18.2737	-175.7099	↙ 232°				 Level	 FlightAware Approximate
Sat 18:29:11	-18.3819	-175.8550	↙ 232°				 Level	 FlightAware Approximate
Sat 18:30:35	-18.4888	-175.9985	↙ 232°				 Level	 FlightAware Approximate
Sat 18:31:56	-18.5917	-176.1365	↙ 232°				 Level	 FlightAware Approximate
Sat 18:33:20	-18.6984	-176.2808	↙ 232°				 Level	 FlightAware Approximate
Sat 18:34:41	-18.8011	-176.4198	↙ 232°				 Level	 FlightAware Approximate
Sat 18:36:00	-19.1560	-176.9288	↙ 232°	438	504	11,270	 Level	 FlightAware ADS-B (SUV / NFNA)
Sat 18:37:11	-19.2445	-177.0493	↙ 232°	439	505	11,278	3 Climbing	 FlightAware ADS-B (SUV / NFNA)
Sat 18:38:11	-19.3186	-177.1504	↙ 232°	441	507	11,278	 Level	 FlightAware ADS-B (SUV / NFNA)
Sat 18:39:11	-19.3940	-177.2535	↙ 232°	443	510	11,278	-4 Descending	 FlightAware ADS-B (SUV / NFNA)
Sat 18:40:16	-19.4753	-177.3649	↙ 232°	443	510	11,270	-5 Descending	 FlightAware ADS-B (SUV / NFNA)
Sat 18:40:36	-19.4978	-177.4007	↙ 242°	442	509	11,270	11 Climbing	 FlightAware ADS-B (SUV / NFNA)
Sat 18:40:57	-19.5137	-177.4428	← 254°	442	509	11,278	 Level	 FlightAware ADS-B (SUV / NFNA)
Sat 18:42:07	-19.5425	-177.5919	← 259°	443	510	11,270	-4 Descending	 FlightAware ADS-B (SUV / NFNA)
Sat 18:42:54	-19.5609	-177.6888	← 259°	443	510	11,270	 Level	 FlightAware ADS-B (SUV / NFNA)
Sat 18:43:37	-19.5789	-177.7838	← 259°	442	509	11,270	 Level	 FlightAware ADS-B (SUV / NFNA)
Sat 18:44:11	-19.5922	-177.8542	← 259°	442	509	11,270	 Level	 FlightAware ADS-B (SUV / NFNA)
Sat 18:44:42	-19.6045	-177.9196	← 259°	441	507	11,270	8 Climbing	 FlightAware ADS-B (SUV / NFNA)
Sat 18:45:12	-19.6166	-177.9837	← 259°	440	506	11,278	 Level	 FlightAware ADS-B (SUV / NFNA)
Sat 18:46:12	-19.6400	-178.1093	← 259°	437	503	11,270	 Level	 FlightAware ADS-B (SUV / NFNA)
Sat 18:47:01	-19.6594	-178.2127	← 259°	436	502	11,278	 Level	 FlightAware ADS-B (SUV / NFNA)
Sat 18:47:47	-19.6774	-178.3091	← 259°	437	503	11,270	-5 Descending	 FlightAware ADS-B (SUV / NFNA)
Sat 18:48:31	-19.6946	-178.4021	← 259°	438	504	11,270	5 Climbing	 FlightAware ADS-B (SUV / NFNA)
Sat 18:49:21	-19.7140	-178.5071	← 259°	439	505	11,278	 Level	 FlightAware ADS-B (SUV / NFNA)
Sat 18:49:54	-19.7272	-178.5784	← 259°	439	505	11,270	-7 Descending	 FlightAware ADS-B (SUV / NFNA)
Sat 18:50:29	-19.7404	-178.6504	← 259°	440	506	11,270	 Level	 FlightAware ADS-B (SUV / NFNA)
Sat 18:51:00	-19.7525	-178.7164	← 259°	440	506	11,270	 Level	 FlightAware ADS-B (SUV / NFNA)
Sat 18:51:32	-19.7647	-178.7832	← 259°	440	506	11,270	7 Climbing	 FlightAware ADS-B (SUV / NFNA)
Sat 18:52:03	-19.7766	-178.8475	← 259°	440	506	11,278	8 Climbing	 FlightAware ADS-B (SUV / NFNA)
Sat 18:52:33	-19.7882	-178.9112	← 259°	440	506	11,278	-5 Descending	 FlightAware ADS-B (SUV / NFNA)
Sat 18:53:31	-19.8102	-179.0327	← 259°	441	507	11,270	 Level	 FlightAware ADS-B (SUV / NFNA)
Sat 18:54:02	-19.8224	-179.1003	← 259°	442	509	11,278	6 Climbing	 FlightAware ADS-B (SUV / NFNA)
Sat 18:54:44	-19.8386	-179.1894	← 259°	441	507	11,278	 Level	 FlightAware ADS-B (SUV / NFNA)
Sat 18:55:14	-19.8501	-179.2535	← 259°	441	507	11,278	 Level	 FlightAware ADS-B (SUV / NFNA)
Sat 18:55:44	-19.8614	-179.3157	← 259°	441	507	11,278	 Level	 FlightAware ADS-B (SUV / NFNA)
Sat 18:56:14	-19.8731	-179.3813	← 259°	441	507	11,278	-8 Descending	 FlightAware ADS-B (SUV / NFNA)
Sat 18:56:44	-19.8845	-179.4448	← 259°	441	507	11,270	-8 Descending	 FlightAware ADS-B (SUV / NFNA)
Sat 18:57:14	-19.8955	-179.5067	← 259°	441	507	11,270	 Level	 FlightAware ADS-B (SUV / NFNA)
Sat 18:57:44	-19.9072	-179.5719	← 259°	441	507	11,270	 Level	 FlightAware ADS-B (SUV / NFNA)
Sat 18:58:14	-19.9187	-179.6363	← 259°	440	506	11,270	 Level	 FlightAware ADS-B (SUV / NFNA)
Sat 18:58:44	-19.9298	-179.6992	← 259°	440	506	11,270	 Level	 FlightAware ADS-B (SUV / NFNA)
Sat 18:59:44	-19.9526	-179.8273	← 259°	438	504	11,270	 Level	 FlightAware ADS-B (SUV / NFNA)
Sat 19:02:25	-20.0495	179.8461	↙ 245°	437	503	11,270	31 Climbing	 FlightAware ADS-B (SUV / NFNA)
Sat 19:02:58	-20.0783	179.7807	↙ 245°	438	504	11,369	264 Climbing	 FlightAware ADS-B (SUV / NFNA)
Sat 19:03:29	-20.1039	179.7222	↙ 245°	435	501	11,552	187 Climbing	 FlightAware ADS-B (SUV / NFNA)
Sat 19:04:04	-20.1343	179.6532	↙ 245°	433	498	11,575	19 Climbing	 FlightAware ADS-B (SUV / NFNA)
Sat 19:05:05	-20.1855	179.5365	↙ 245°	430	495	11,582	4 Climbing	 FlightAware ADS-B (SUV / NFNA)
Sat 19:06:05	-20.2359	179.4215	↙ 245°	429	494	11,582	-4 Descending	 FlightAware ADS-B (SUV / NFNA)
Sat 19:07:05	-20.2863	179.3062	↙ 245°	430	495	11,575	-5 Descending	 FlightAware ADS-B (SUV / NFNA)
Sat 19:07:42	-20.3172	179.2353	↙ 245°	429	494	11,575	 Level	 FlightAware ADS-B (SUV / NFNA)
Sat 19:08:16	-20.3451	179.1712	↙ 245°	428	493	11,575	5 Climbing	 FlightAware ADS-B (SUV / NFNA)
Sat 19:09:13	-20.3921	179.0631	↙ 245°	428	493	11,582	5 Climbing	 FlightAware ADS-B (SUV / NFNA)
Sat 19:09:46	-20.4200	178.9991	↙ 245°	427	491	11,582	 Level	 FlightAware ADS-B (SUV / NFNA)
Sat 19:10:16	-20.4453	178.9408	↙ 245°	428	493	11,582	-6 Descending	 FlightAware ADS-B (SUV / NFNA)
Sat 19:11:04	-20.4844	178.8503	↙ 245°	428	493	11,575	-3 Descending	 FlightAware ADS-B (SUV / NFNA)
Sat 19:12:38	-20.5558	178.6852	← 246°	426	490	11,575	3 Climbing	 FlightAware ADS-B (NAN / NFFN)
Sat 19:13:17	-20.5944	178.5956	← 246°	427	491	11,582	 Level	 FlightAware ADS-B (SUV / NFNA)
Sat 19:14:02	-20.6311	178.5103	← 246°	428	493	11,575	-5 Descending	 FlightAware ADS-B (SUV / NFNA)
Sat 19:14:39	-20.6622	178.4380	↙ 245°	428	493	11,575	 Level	 FlightAware ADS-B (SUV / NFNA)
Sat 19:15:13	-20.6905	178.3722	↙ 245°	428	493	11,575	6 Climbing	 FlightAware ADS-B (SUV / NFNA)
Sat 19:15:57	-20.7269	178.2870	← 247°	429	494	11,582	5 Climbing	 FlightAware ADS-B (SUV / NFNA)
Sat 19:16:35	-20.7575	178.2154	← 247°	429	494	11,582	 Level	 FlightAware ADS-B (SUV / NFNA)
Sat 19:17:58	-20.8260	178.0549	← 246°	429	494	11,582	-4 Descending	 FlightAware ADS-B (SUV / NFNA)
Sat 19:18:28	-20.8507	177.9975	← 246°	428	493	11,575	 Level	 FlightAware ADS-B (SUV / NFNA)
Sat 19:21:03	-20.9768	177.7001	← 247°	429	494	11,582	3 Climbing	 FlightAware ADS-B (NAN / NFFN)
Sat 19:22:03	-21.0236	177.5892	← 247°	428	493		 Level	 FlightAware ADS-B (NAN / NFFN)
Sat 19:23:10	-21.0814	177.4523	← 246°	439	505	11,575	 Level	 FlightAware ADS-B (SUV / NFNA)
Sat 19:24:10	-21.1302	177.3364	← 246°	427	491	11,582	5 Climbing	 FlightAware ADS-B (SUV / NFNA)
Sat 19:24:41	-21.1545	177.2785	← 246°	428	493	11,582	-8 Descending	 FlightAware ADS-B (SUV / NFNA)
Sat 19:25:11	-21.1787	177.2209	← 246°	428	493	11,575	 Level	 FlightAware ADS-B (SUV / NFNA)
Sat 19:26:06	-21.2242	177.1123	← 246°	427	491	11,582	 Level	 FlightAware ADS-B (SUV / NFNA)
Sat 19:26:39	-21.2506	177.0491	← 246°	428	493	11,575	 Level	 FlightAware ADS-B (SUV / NFNA)
Sat 19:27:18	-21.2812	176.9758	← 246°	428	493	11,582	 Level	 FlightAware ADS-B (SUV / NFNA)
Sat 19:29:18	-21.3769	176.7458	← 247°	427	491	11,575	 Level	 FlightAware ADS-B (NAN / NFFN)
Sat 19:33:22	-21.6484	176.2953	← 247°				 Level	 FlightAware Approximate
Sat 19:34:45	-21.7163	176.1261	← 247°				 Level	 FlightAware Approximate
Sat 19:35:31	-21.6748	176.0235	← 247°	428	493	11,582	 Level	 FlightAware ADS-B (NAN / NFFN)
Sat 19:36:12	-21.7099	175.9379	← 248°	426	490	11,582	 Level	 FlightAware ADS-B (NAN / NFFN)
Sat 19:40:11	-21.9742	175.4955	← 247°				 Level	 FlightAware Approximate
Sat 19:41:33	-22.0404	175.3284	← 247°				 Level	 FlightAware Approximate
Sat 19:42:52	-22.1040	175.1663	← 247°				 Level	 FlightAware Approximate
Sat 19:44:15	-22.1706	174.9960	← 247°				 Level	 FlightAware Approximate
Sat 19:45:30	-22.2307	174.8423	← 247°				 Level	 FlightAware Approximate
Sat 19:46:54	-22.2978	174.6696	← 247°				 Level	 FlightAware Approximate
Sat 19:48:14	-22.3615	174.5057	← 247°				 Level	 FlightAware Approximate
Sat 19:49:34	-22.4251	174.3416	← 247°				 Level	 FlightAware Approximate
Sat 19:51:00	-22.4932	174.1651	← 247°				 Level	 FlightAware Approximate
Sat 19:52:17	-22.5540	174.0064	← 247°				 Level	 FlightAware Approximate
Sat 19:53:40	-22.6194	173.8349	← 247°				 Level	 FlightAware Approximate
Sat 19:55:01	-22.6831	173.6679	← 248°				 Level	 FlightAware Approximate
Sat 19:56:24	-22.7481	173.4966	← 248°				 Level	 FlightAware Approximate
Sat 19:57:44	-22.8106	173.3316	← 248°				 Level	 FlightAware Approximate
Sat 19:59:05	-22.8737	173.1644	← 248°				 Level	 FlightAware Approximate
Sat 20:00:21	-22.9328	173.0066	← 248°				 Level	 FlightAware Approximate
Sat 20:01:46	-22.9987	172.8308	← 248°				 Level	 FlightAware Approximate
Sat 20:03:04	-23.0590	172.6692	← 248°				 Level	 FlightAware Approximate
Sat 20:04:27	-23.1230	172.4966	← 248°				 Level	 FlightAware Approximate
Sat 20:05:48	-23.1852	172.3286	← 248°				 Level	 FlightAware Approximate
Sat 20:07:06	-23.2450	172.1667	← 248°				 Level	 FlightAware Approximate
Sat 20:08:27	-23.3069	171.9983	← 248°				 Level	 FlightAware Approximate
Sat 20:09:48	-23.3686	171.8292	← 248°				 Level	 FlightAware Approximate
Sat 20:11:07	-23.4286	171.6642	← 248°				 Level	 FlightAware Approximate
Sat 20:12:26	-23.4884	171.4990	← 248°				 Level	 FlightAware Approximate
Sat 20:13:51	-23.5526	171.3213	← 248°				 Level	 FlightAware Approximate
Sat 20:15:12	-23.6136	171.1515	← 249°				 Level	 FlightAware Approximate
Sat 20:16:32	-23.6736	170.9845	← 249°				 Level	 FlightAware Approximate
Sat 20:17:50	-23.7320	170.8205	← 249°				 Level	 FlightAware Approximate
Sat 20:19:08	-23.7902	170.6574	← 249°				 Level	 FlightAware Approximate
Sat 20:20:31	-23.8519	170.4827	← 249°				 Level	 FlightAware Approximate
Sat 20:21:54	-23.9134	170.3085	← 249°				 Level	 FlightAware Approximate
Sat 20:23:09	-23.9688	170.1512	← 249°				 Level	 FlightAware Approximate
Sat 20:24:32	-24.0300	169.9762	← 249°				 Level	 FlightAware Approximate
Sat 20:25:49	-24.0866	169.8137	← 249°				 Level	 FlightAware Approximate
Sat 20:27:16	-24.1503	169.6305	← 249°				 Level	 FlightAware Approximate
Sat 20:28:35	-24.2080	169.4632	← 249°				 Level	 FlightAware Approximate
Sat 20:29:49	-24.2618	169.3066	← 249°				 Level	 FlightAware Approximate
Sat 20:31:16	-24.3250	169.1230	← 249°				 Level	 FlightAware Approximate
Sat 20:32:32	-24.3799	168.9621	← 249°				 Level	 FlightAware Approximate
Sat 20:33:56	-24.4404	168.7840	← 249°				 Level	 FlightAware Approximate
Sat 20:35:17	-24.4986	168.6122	← 250°				 Level	 FlightAware Approximate
Sat 20:36:39	-24.5573	168.4379	← 250°				 Level	 FlightAware Approximate
Sat 20:37:59	-24.6144	168.2680	← 250°				 Level	 FlightAware Approximate
Sat 20:39:17	-24.6698	168.1021	← 250°				 Level	 FlightAware Approximate
Sat 20:40:42	-24.7300	167.9210	← 250°				 Level	 FlightAware Approximate
Sat 20:42:03	-24.7872	167.7484	← 250°				 Level	 FlightAware Approximate
Sat 20:43:25	-24.8932	167.5867	↙ 233°				 Level	 FlightAware Approximate
Sat 20:44:45	-24.9978	167.4312	↙ 233°				 Level	 FlightAware Approximate
Sat 20:46:10	-25.1088	167.2651	↙ 234°				 Level	 FlightAware Approximate
Sat 20:47:30	-25.2131	167.1086	↙ 234°				 Level	 FlightAware Approximate
Sat 20:48:50	-25.3172	166.9523	↙ 234°				 Level	 FlightAware Approximate
Sat 20:50:12	-25.4238	166.7911	↙ 234°				 Level	 FlightAware Approximate
Sat 20:51:27	-25.5211	166.6436	↙ 234°				 Level	 FlightAware Approximate
Sat 20:52:52	-25.6312	166.4767	↙ 234°				 Level	 FlightAware Approximate
Sat 20:54:18	-25.7424	166.3074	↙ 234°				 Level	 FlightAware Approximate
Sat 20:55:39	-25.8469	166.1470	↙ 234°				 Level	 FlightAware Approximate
Sat 20:56:59	-25.9501	165.9887	↙ 234°				 Level	 FlightAware Approximate
Sat 20:58:21	-26.0556	165.8264	↙ 234°				 Level	 FlightAware Approximate
Sat 20:59:40	-26.1571	165.6691	↙ 234°				 Level	 FlightAware Approximate
Sat 21:01:00	-26.2597	165.5098	↙ 234°				 Level	 FlightAware Approximate
Sat 21:02:19	-26.3608	165.3526	↙ 234°				 Level	 FlightAware Approximate
Sat 21:03:43	-26.4681	165.1853	↙ 234°				 Level	 FlightAware Approximate
Sat 21:04:59	-26.5650	165.0330	↙ 234°				 Level	 FlightAware Approximate
Sat 21:06:24	-26.6732	164.8627	↙ 235°				 Level	 FlightAware Approximate
Sat 21:07:39	-26.7685	164.7124	↙ 235°				 Level	 FlightAware Approximate
Sat 21:09:04	-26.8763	164.5411	↙ 235°				 Level	 FlightAware Approximate
Sat 21:10:24	-26.9776	164.3798	↙ 235°				 Level	 FlightAware Approximate
Sat 21:11:46	-27.0812	164.2145	↙ 235°				 Level	 FlightAware Approximate
Sat 21:13:04	-27.1796	164.0563	↙ 235°				 Level	 FlightAware Approximate
Sat 21:14:26	-27.2829	163.8899	↙ 235°				 Level	 FlightAware Approximate
Sat 21:15:40	-27.3760	163.7399	↙ 235°				 Level	 FlightAware Approximate
Sat 21:17:07	-27.4852	163.5632	↙ 235°				 Level	 FlightAware Approximate
Sat 21:18:22	-27.5792	163.4103	↙ 235°				 Level	 FlightAware Approximate
Sat 21:19:54	-27.6943	163.2223	↙ 235°				 Level	 FlightAware Approximate
Sat 21:21:13	-27.7930	163.0606	↙ 235°				 Level	 FlightAware Approximate
Sat 21:22:33	-27.8922	162.8974	↙ 236°				 Level	 FlightAware Approximate
Sat 21:23:56	-27.9952	162.7266	↙ 236°				 Level	 FlightAware Approximate
Sat 21:25:15	-28.0930	162.5645	↙ 236°				 Level	 FlightAware Approximate
Sat 21:26:37	-28.1943	162.3950	↙ 236°				 Level	 FlightAware Approximate
Sat 21:34:46	-28.0379	162.6525	↙ 233°	426	490	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:34:51	-28.0434	162.6434	↙ 234°	427	491	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:35:01	-28.0545	162.6250	↙ 235°	427	491	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:35:11	-28.0657	162.6064	↙ 236°	428	493	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:35:16	-28.0712	162.5971	↙ 235°	428	493	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:35:26	-28.0822	162.5789	↙ 235°	428	493	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:35:36	-28.0933	162.5604	↙ 236°	428	493	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:35:51	-28.1099	162.5326	↙ 235°	428	493	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:36:01	-28.1208	162.5146	↙ 236°	428	493	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:36:16	-28.1378	162.4863	↙ 236°	427	491	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:36:26	-28.1487	162.4679	↙ 236°	427	491	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:36:36	-28.1596	162.4498	↙ 236°	426	490	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:36:41	-28.1653	162.4403	↙ 236°	425	489	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:36:51	-28.1764	162.4219	↙ 235°	425	489	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:37:01	-28.1874	162.4036	↙ 236°	425	489	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:37:06	-28.1930	162.3942	↙ 237°	426	490	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:37:11	-28.1985	162.3850	↙ 235°	426	490	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:37:16	-28.2039	162.3759	↙ 236°	426	490	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:37:26	-28.2150	162.3574	↙ 236°	425	489	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:37:31	-28.2205	162.3481	↙ 235°	426	490	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:37:36	-28.2260	162.3389	↙ 236°	426	490	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:37:41	-28.2315	162.3298	↙ 236°	426	490	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:37:51	-28.2425	162.3114	↙ 236°	427	491	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:37:56	-28.2480	162.3020	↙ 235°	426	490	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:38:01	-28.2536	162.2928	↙ 236°	426	490	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:38:06	-28.2590	162.2835	↙ 237°	427	491	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:38:11	-28.2646	162.2741	↙ 234°	427	491	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:38:16	-28.2700	162.2650	↙ 236°	427	491	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:38:26	-28.2810	162.2465	↙ 236°	428	493	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:38:31	-28.2867	162.2372	↙ 237°	428	493	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:38:36	-28.2922	162.2280	↙ 235°	428	493	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:38:41	-28.2978	162.2186	↙ 236°	428	493	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:38:51	-28.3087	162.2001	↙ 237°	427	491	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:38:56	-28.3143	162.1907	↙ 236°	428	493	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:39:01	-28.3197	162.1816	↙ 237°	428	493	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:39:56	-28.3804	162.0795	↙ 236°	427	491	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:40:01	-28.3860	162.0702	↙ 237°	427	491	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:40:11	-28.3970	162.0517	↙ 236°	427	491	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:40:16	-28.4025	162.0424	↙ 237°	426	490	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:40:21	-28.4079	162.0333	↙ 235°	427	491	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:40:26	-28.4135	162.0239	↙ 235°	427	491	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:40:36	-28.4244	162.0054	↙ 236°	427	491	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:40:41	-28.4300	161.9960	↙ 235°	427	491	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:40:46	-28.4354	161.9868	↙ 236°	427	491	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:40:51	-28.4409	161.9775	↙ 237°	427	491	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:41:01	-28.4520	161.9589	↙ 236°	428	493	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:41:06	-28.4576	161.9497	↙ 236°	428	493	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:41:11	-28.4631	161.9404	↙ 237°	427	491	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:41:16	-28.4687	161.9310	↙ 235°	426	490	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:41:26	-28.4796	161.9125	↙ 236°	426	490	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:41:31	-28.4850	161.9033	↙ 238°	426	490	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:41:36	-28.4905	161.8939	↙ 236°	426	490	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:41:41	-28.4959	161.8846	↙ 237°	426	490	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:41:51	-28.5069	161.8661	↙ 237°	425	489	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:42:01	-28.5178	161.8475	↙ 236°	426	490	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:42:06	-28.5233	161.8382	↙ 238°	426	490	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:42:16	-28.5342	161.8197	↙ 236°	426	490	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:42:26	-28.5452	161.8012	↙ 236°	425	489	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:42:30	-28.5506	161.7920	↙ 236°	425	489	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:42:40	-28.5615	161.7734	↙ 236°	425	489	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:42:50	-28.5726	161.7547	↙ 235°	426	490	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:43:05	-28.5890	161.7270	↙ 236°	425	489	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:43:15	-28.5999	161.7084	↙ 236°	426	490	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:43:20	-28.6054	161.6990	↙ 235°	426	490	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:43:30	-28.6163	161.6805	↙ 236°	425	489	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:43:40	-28.6272	161.6621	↙ 237°	424	488	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:43:45	-28.6327	161.6528	↙ 236°	425	489	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:43:55	-28.6436	161.6343	↙ 236°	425	489	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:44:00	-28.6491	161.6248	↙ 236°	424	488	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:44:35	-28.6869	161.5602	↙ 236°	423	487	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:44:45	-28.6977	161.5417	↙ 236°	423	487	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:44:52	-28.7032	161.5324	↙ 237°	423	487	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:44:55	-28.7087	161.5230	↙ 235°	423	487	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:45:05	-28.7194	161.5047	↙ 236°	424	488	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:45:10	-28.7249	161.4954	↙ 237°	424	488	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:45:15	-28.7304	161.4861	↙ 235°	424	488	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:45:20	-28.7357	161.4769	↙ 236°	424	488	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:45:30	-28.7466	161.4583	↙ 236°	423	487	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:45:35	-28.7520	161.4491	↙ 236°	423	487	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:45:40	-28.7574	161.4398	↙ 236°	423	487	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:45:45	-28.7629	161.4305	↙ 237°	423	487	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:45:50	-28.7682	161.4213	↙ 235°	423	487	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:46:00	-28.7787	161.4033	↙ 236°	424	488	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:46:05	-28.7841	161.3942	↙ 235°	424	488	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:46:10	-28.7896	161.3848	↙ 236°	425	489	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:46:15	-28.7951	161.3753	↙ 237°	425	489	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:46:25	-28.8060	161.3568	↙ 236°	425	489	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:46:30	-28.8114	161.3476	↙ 237°	425	489	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:46:35	-28.8169	161.3382	↙ 237°	424	488	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:46:40	-28.8223	161.3290	↙ 236°	424	488	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:46:50	-28.8331	161.3103	↙ 237°	425	489	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:46:55	-28.8386	161.3010	↙ 235°	425	489	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:47:00	-28.8439	161.2919	↙ 237°	426	490	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:47:10	-28.8549	161.2731	↙ 237°	426	490	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:47:15	-28.8603	161.2637	↙ 236°	426	490	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:47:25	-28.8711	161.2452	↙ 237°	425	489	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:47:40	-28.8874	161.2171	↙ 236°	426	490	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:47:50	-28.8983	161.1984	↙ 236°	425	489	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:48:00	-28.9090	161.1800	↙ 236°	426	490	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:48:05	-28.9145	161.1705	↙ 237°	426	490	11,582	 Level	 Aus ATC (ADS-B)
Sat 21:48:15	-28.9254	161.1516	↙ 236°	428	493	11,582	 Level	 Aus ATC (ADS-B)
