,age,salary,add_comp,overall_exp,job_exp,education,gender
1074,35-44,90240.0,18048.0,11 - 20 years,11 - 20 years,College degree,Woman
1075,35-44,131600.0,0.0,8 - 10 years,2 - 4 years,Master's degree,Woman
1076,55-64,47000.0,0.0,21 - 30 years,21 - 30 years,Master's degree,Woman
1077,35-44,114400.0,0.0,8 - 10 years,8 - 10 years,PhD,Woman
1078,35-44,54843.35999999999,0.0,11 - 20 years,8 - 10 years,College degree,Woman
1079,25-34,47000.0,0.0,5-7 years,5-7 years,Master's degree,Woman
1080,35-44,112800.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1081,25-34,65800.0,0.0,8 - 10 years,2 - 4 years,Some college,Woman
1082,25-34,65800.0,4700.0,5-7 years,2 - 4 years,College degree,Woman
1083,18-24,17596.8,0.0,2 - 4 years,2 - 4 years,College degree,Woman
1084,45-54,84600.0,7050.0,11 - 20 years,11 - 20 years,Master's degree,Man
1085,25-34,81780.0,0.0,5-7 years,5-7 years,Master's degree,Woman
1086,25-34,60160.0,5640.0,11 - 20 years,8 - 10 years,Master's degree,Woman
1088,35-44,107215.45999999999,0.0,8 - 10 years,5-7 years,Master's degree,Woman
1089,35-44,89300.0,0.0,11 - 20 years,2 - 4 years,College degree,Woman
1090,25-34,62980.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1091,35-44,64859.99999999999,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
1092,25-34,51700.0,4700.0,2 - 4 years,2 - 4 years,Master's degree,Woman
1093,35-44,70500.0,940.0,11 - 20 years,2 - 4 years,Master's degree,Woman
1094,45-54,72596.2,0.0,21 - 30 years,21 - 30 years,College degree,Woman
1095,35-44,15040.0,0.0,11 - 20 years,2 - 4 years,College degree,Non-binary
1096,25-34,41360.0,0.0,2 - 4 years,1 year or less,Master's degree,Woman
1097,18-24,31283.199999999997,1804.8,5-7 years,1 year or less,College degree,Non-binary
1098,25-34,51700.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
1099,45-54,61100.0,2538.0,11 - 20 years,8 - 10 years,College degree,Woman
1100,35-44,61442.159999999996,0.0,11 - 20 years,11 - 20 years,College degree,Woman
1101,25-34,63920.0,0.0,8 - 10 years,8 - 10 years,PhD,Woman
1102,25-34,101520.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
1103,55-64,61202.99999999999,5175.0,31 - 40 years,21 - 30 years,College degree,Man
1104,35-44,63920.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
1105,35-44,48299.99999999999,4140.0,11 - 20 years,2 - 4 years,Some college,Woman
1106,25-34,42300.0,0.0,5-7 years,2 - 4 years,Master's degree,Woman
1107,25-34,67680.0,0.0,5-7 years,5-7 years,PhD,Woman
1108,25-34,42300.0,1880.0,5-7 years,5-7 years,College degree,Woman
1109,55-64,37600.0,0.0,21 - 30 years,11 - 20 years,College degree,Woman
1110,25-34,63450.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
1111,45-54,131600.0,0.0,21 - 30 years,21 - 30 years,College degree,Woman
1112,25-34,95880.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
1113,55-64,65800.0,0.0,21 - 30 years,11 - 20 years,College degree,Woman
1114,25-34,75000.0,0.0,8 - 10 years,2 - 4 years,Master's degree,Woman
1115,25-34,84600.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
1116,25-34,67680.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
1117,45-54,98700.0,1880.0,11 - 20 years,11 - 20 years,College degree,Woman
1118,45-54,110920.0,1598.0,31 - 40 years,31 - 40 years,College degree,Woman
1119,25-34,69654.0,0.0,8 - 10 years,8 - 10 years,College degree,Woman
1120,45-54,78960.0,2350.0,21 - 30 years,21 - 30 years,College degree,Woman
1121,45-54,145700.0,131600.0,21 - 30 years,21 - 30 years,Some college,Woman
1122,25-34,94000.0,18800.0,5-7 years,1 year or less,College degree,Woman
1123,35-44,49820.0,0.0,8 - 10 years,5-7 years,College degree,Woman
1124,65 or over,75200.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1125,25-34,42065.0,470.0,2 - 4 years,2 - 4 years,Master's degree,Woman
1126,35-44,41400.0,0.0,8 - 10 years,2 - 4 years,College degree,Man
1127,35-44,35955.939999999995,0.0,11 - 20 years,2 - 4 years,Some college,Woman
1128,35-44,53129.99999999999,0.0,8 - 10 years,5-7 years,Master's degree,Woman
1129,25-34,30359.999999999996,2415.0,2 - 4 years,2 - 4 years,Master's degree,Woman
1130,35-44,41400.0,0.0,11 - 20 years,5-7 years,Some college,Woman
1131,55-64,161597.28,1880.0,31 - 40 years,21 - 30 years,PhD,Woman
1132,35-44,64859.99999999999,4700.0,21 - 30 years,2 - 4 years,Master's degree,Woman
1133,25-34,39480.0,0.0,5-7 years,5-7 years,Master's degree,Woman
1134,25-34,71675.0,0.0,8 - 10 years,5-7 years,College degree,Non-binary
1135,45-54,55460.0,470.0,21 - 30 years,21 - 30 years,College degree,Other or prefer not to answer
1137,25-34,55199.99999999999,2760.0,8 - 10 years,8 - 10 years,College degree,Woman
1138,25-34,58750.0,2444.0,5-7 years,5-7 years,Master's degree,Woman
1139,25-34,70500.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
1140,25-34,173900.0,28200.0,8 - 10 years,8 - 10 years,Master's degree,Woman
1141,35-44,37600.0,0.0,11 - 20 years,2 - 4 years,Master's degree,Woman
1142,25-34,68103.0,1880.0,11 - 20 years,2 - 4 years,Master's degree,Woman
1143,35-44,61100.0,2820.0,11 - 20 years,5-7 years,Master's degree,Woman
1144,35-44,47149.99999999999,0.0,11 - 20 years,11 - 20 years,College degree,Woman
1145,35-44,66740.0,0.0,11 - 20 years,5-7 years,College degree,Man
1146,45-54,83096.0,1880.0,31 - 40 years,8 - 10 years,Master's degree,Woman
1147,25-34,47940.0,0.0,5-7 years,2 - 4 years,Master's degree,Woman
1148,45-54,51749.99999999999,0.0,21 - 30 years,21 - 30 years,Master's degree,Woman
1149,18-24,34500.0,23000.0,2 - 4 years,2 - 4 years,College degree,Woman
1150,65 or over,75200.0,940.0,31 - 40 years,21 - 30 years,Master's degree,Woman
1151,35-44,79900.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Other or prefer not to answer
1152,35-44,61100.0,188.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1153,18-24,62980.0,0.0,1 year or less,1 year or less,College degree,Woman
1154,25-34,65800.0,2632.0,5-7 years,5-7 years,College degree,Woman
1155,55-64,58280.0,7520.0,31 - 40 years,31 - 40 years,College degree,Woman
1156,45-54,188000.0,65800.0,21 - 30 years,21 - 30 years,College degree,Man
1157,25-34,33370.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
1158,25-34,103400.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
1160,25-34,45778.0,0.0,5-7 years,1 year or less,College degree,Woman
1161,45-54,124550.0,18800.0,11 - 20 years,11 - 20 years,College degree,Woman
1162,35-44,49820.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
1163,25-34,79900.0,9400.0,2 - 4 years,2 - 4 years,College degree,Woman
1164,35-44,84600.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
1165,25-34,52640.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
1166,35-44,84600.0,6580.0,11 - 20 years,2 - 4 years,College degree,Woman
1167,35-44,173900.0,9400.0,11 - 20 years,8 - 10 years,PhD,Woman
1168,55-64,86950.0,5640.0,11 - 20 years,11 - 20 years,College degree,Woman
1169,35-44,143820.0,6580.0,21 - 30 years,21 - 30 years,College degree,Woman
1170,35-44,28749.999999999996,0.0,11 - 20 years,11 - 20 years,High School,Woman
1171,35-44,67680.0,1880.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1172,35-44,126900.0,4700.0,8 - 10 years,8 - 10 years,Master's degree,Woman
1173,35-44,44869.549999999996,0.0,8 - 10 years,2 - 4 years,College degree,Woman
1174,25-34,45556.159999999996,0.0,11 - 20 years,11 - 20 years,Some college,Woman
1175,35-44,36800.0,1724.9999999999998,11 - 20 years,1 year or less,Master's degree,Woman
1176,25-34,45747.0,45747.0,5-7 years,2 - 4 years,College degree,Woman
1177,35-44,69560.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
1178,25-34,48000.0,3000.0,8 - 10 years,5-7 years,Master's degree,Woman
1179,25-34,68620.0,6580.0,8 - 10 years,2 - 4 years,Master's degree,Woman
1180,25-34,43240.0,0.0,8 - 10 years,1 year or less,High School,Woman
1181,55-64,83660.0,1880.0,21 - 30 years,21 - 30 years,College degree,Woman
1182,35-44,73320.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1183,25-34,37673.31,0.0,2 - 4 years,2 - 4 years,College degree,Woman
1184,35-44,112800.0,18800.0,8 - 10 years,5-7 years,PhD,Woman
1185,55-64,92120.0,0.0,31 - 40 years,31 - 40 years,College degree,Woman
1186,25-34,146640.0,14664.0,8 - 10 years,2 - 4 years,College degree,Woman
1187,35-44,112800.0,0.0,8 - 10 years,8 - 10 years,PhD,Woman
1188,25-34,72000.0,12000.0,11 - 20 years,5-7 years,PhD,Man
1189,55-64,92120.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
1190,55-64,36660.0,1880.0,31 - 40 years,11 - 20 years,College degree,Woman
1191,45-54,82297.0,2350.0,21 - 30 years,2 - 4 years,Master's degree,Woman
1192,35-44,44180.0,0.0,11 - 20 years,5-7 years,Master's degree,Woman
1193,25-34,60160.0,0.0,8 - 10 years,8 - 10 years,College degree,Woman
1194,25-34,63920.0,0.0,8 - 10 years,5-7 years,Master's degree,Woman
1195,35-44,110920.0,18800.0,11 - 20 years,11 - 20 years,Some college,Woman
1196,45-54,89300.0,94000.0,21 - 30 years,21 - 30 years,College degree,Woman
1197,35-44,44850.0,0.0,11 - 20 years,5-7 years,College degree,Man
1198,35-44,172584.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
1199,25-34,32137.899999999998,0.0,5-7 years,5-7 years,Master's degree,Woman
1200,25-34,72380.0,470.0,5-7 years,5-7 years,Master's degree,Woman
1201,25-34,39480.0,1128.0,11 - 20 years,8 - 10 years,College degree,Woman
1202,35-44,75200.0,37600.0,11 - 20 years,8 - 10 years,Master's degree,Woman
1203,18-24,43125.0,575.0,2 - 4 years,2 - 4 years,College degree,Woman
1204,35-44,159800.0,31960.0,11 - 20 years,8 - 10 years,Master's degree,Man
1205,25-34,117500.0,0.0,8 - 10 years,5-7 years,College degree,Woman
1206,35-44,11280.0,0.0,8 - 10 years,1 year or less,College degree,Woman
1207,35-44,169200.0,56400.0,5-7 years,5-7 years,PhD,Woman
1208,35-44,72380.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1209,35-44,70500.0,0.0,11 - 20 years,8 - 10 years,College degree,Woman
1210,35-44,71440.0,0.0,11 - 20 years,11 - 20 years,College degree,Man
1211,25-34,69278.0,9400.0,5-7 years,5-7 years,College degree,Woman
1212,35-44,46920.0,0.0,11 - 20 years,5-7 years,Master's degree,Man
1213,25-34,38985.0,517.5,8 - 10 years,2 - 4 years,College degree,Woman
1214,25-34,142291.56,21150.0,11 - 20 years,11 - 20 years,Master's degree,Man
1215,25-34,137240.0,0.0,5-7 years,5-7 years,Master's degree,Woman
1216,25-34,70500.0,3290.0,2 - 4 years,2 - 4 years,College degree,Woman
1217,25-34,112800.0,14100.0,5-7 years,5-7 years,Master's degree,Woman
1218,25-34,89300.0,6580.0,2 - 4 years,2 - 4 years,College degree,Woman
1219,55-64,51700.0,2350.0,21 - 30 years,8 - 10 years,College degree,Woman
1220,25-34,70500.0,0.0,5-7 years,2 - 4 years,College degree,Man
1221,35-44,84600.0,9400.0,8 - 10 years,2 - 4 years,Master's degree,Woman
1222,25-34,50760.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
1223,25-34,85685.7,0.0,5-7 years,2 - 4 years,College degree,Woman
1224,25-34,32900.0,0.0,5-7 years,2 - 4 years,College degree,Woman
1225,25-34,59220.0,1880.0,5-7 years,5-7 years,College degree,Woman
1226,35-44,70500.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
1227,25-34,122200.0,0.0,11 - 20 years,5-7 years,College degree,Woman
1228,55-64,89202.23999999999,5640.0,31 - 40 years,21 - 30 years,College degree,Woman
1229,35-44,96350.0,16450.0,11 - 20 years,8 - 10 years,College degree,Woman
1230,45-54,79900.0,0.0,21 - 30 years,21 - 30 years,Master's degree,Woman
1231,25-34,42958.0,1410.0,11 - 20 years,8 - 10 years,College degree,Woman
1232,35-44,56349.99999999999,0.0,11 - 20 years,11 - 20 years,College degree,Woman
1233,25-34,26320.0,9.399999999999999,11 - 20 years,8 - 10 years,College degree,Woman
1234,35-44,109040.0,5170.0,11 - 20 years,11 - 20 years,Master's degree,Man
1235,25-34,65800.0,0.0,8 - 10 years,5-7 years,College degree,Woman
1236,45-54,156980.0,0.0,21 - 30 years,21 - 30 years,PhD,Woman
1237,25-34,79900.0,0.0,5-7 years,2 - 4 years,PhD,Woman
1238,25-34,50572.0,0.0,5-7 years,5-7 years,College degree,Woman
1239,25-34,56400.0,0.0,8 - 10 years,5-7 years,College degree,Woman
1240,35-44,120320.0,128779.99999999999,11 - 20 years,5-7 years,College degree,Woman
1241,25-34,26219.999999999996,1380.0,11 - 20 years,11 - 20 years,High School,Man
1242,25-34,122200.0,1410.0,11 - 20 years,11 - 20 years,College degree,Woman
1243,25-34,92120.0,0.0,8 - 10 years,5-7 years,Master's degree,Woman
1244,25-34,64288.479999999996,1236.1,8 - 10 years,8 - 10 years,College degree,Woman
1245,25-34,63479.99999999999,0.0,8 - 10 years,8 - 10 years,College degree,Woman
1246,25-34,87420.0,0.0,8 - 10 years,5-7 years,College degree,Woman
1247,25-34,32900.0,0.0,2 - 4 years,1 year or less,College degree,Non-binary
1248,45-54,100580.0,3290.0,31 - 40 years,11 - 20 years,College degree,Woman
1249,35-44,329000.0,103400.0,11 - 20 years,8 - 10 years,Master's degree,Woman
1250,35-44,84600.0,0.0,11 - 20 years,8 - 10 years,College degree,Woman
1251,25-34,57340.0,0.0,5-7 years,5-7 years,Master's degree,Woman
1252,45-54,45540.0,2070.0,11 - 20 years,8 - 10 years,PhD,Woman
1253,35-44,54520.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
1254,35-44,78960.0,0.0,2 - 4 years,2 - 4 years,PhD,Woman
1255,45-54,88689.0,940.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1256,25-34,49820.0,470.0,5-7 years,5-7 years,College degree,Woman
1257,25-34,46575.0,0.0,8 - 10 years,5-7 years,College degree,Woman
1258,45-54,91149.0,10350.0,31 - 40 years,31 - 40 years,Master's degree,Man
1259,25-34,36660.0,0.0,5-7 years,2 - 4 years,Master's degree,Man
1260,25-34,40250.0,2300.0,11 - 20 years,5-7 years,Master's degree,Man
1261,35-44,69000.0,24149.999999999996,11 - 20 years,11 - 20 years,Master's degree,Woman
1262,25-34,141000.0,0.0,5-7 years,5-7 years,Master's degree,Woman
1263,25-34,71440.0,7520.0,5-7 years,5-7 years,College degree,Woman
1264,25-34,65800.0,0.0,11 - 20 years,8 - 10 years,Some college,Woman
1265,35-44,87420.0,4700.0,11 - 20 years,11 - 20 years,College degree,Woman
1266,45-54,109522.21999999999,7990.0,21 - 30 years,21 - 30 years,College degree,Woman
1267,45-54,47000.0,28200.0,21 - 30 years,21 - 30 years,College degree,Woman
1270,35-44,50760.0,1880.0,11 - 20 years,8 - 10 years,College degree,Woman
1271,25-34,117299.99999999999,41400.0,5-7 years,2 - 4 years,College degree,Other or prefer not to answer
1272,18-24,44180.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
1273,35-44,117500.0,0.0,8 - 10 years,1 year or less,PhD,Woman
1274,35-44,155250.0,293250.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1275,25-34,103400.0,25850.0,8 - 10 years,5-7 years,Master's degree,Woman
1276,25-34,43710.0,0.0,8 - 10 years,8 - 10 years,College degree,Woman
1277,35-44,75200.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
1278,35-44,82800.0,0.0,21 - 30 years,21 - 30 years,College degree,Woman
1279,45-54,57340.0,940.0,11 - 20 years,11 - 20 years,College degree,Woman
1280,35-44,107991.9,0.0,11 - 20 years,11 - 20 years,College degree,Woman
1281,25-34,110450.0,11045.0,8 - 10 years,2 - 4 years,Master's degree,Woman
1282,25-34,42554.74,4559.0,2 - 4 years,2 - 4 years,Some college,Woman
1283,25-34,162925.5,9400.0,11 - 20 years,11 - 20 years,College degree,Man
1284,35-44,46133.399999999994,0.0,11 - 20 years,11 - 20 years,College degree,Woman
1285,25-34,95880.0,0.0,5-7 years,5-7 years,College degree,Woman
1287,55-64,66476.8,0.0,31 - 40 years,8 - 10 years,College degree,Woman
1288,35-44,150400.0,28200.0,11 - 20 years,11 - 20 years,Some college,Woman
1289,25-34,94940.0,13160.0,11 - 20 years,8 - 10 years,College degree,Man
1290,35-44,197400.0,94000.0,21 - 30 years,11 - 20 years,Master's degree,Woman
1291,35-44,70500.0,14100.0,11 - 20 years,8 - 10 years,Some college,Woman
1292,25-34,37600.0,0.0,5-7 years,1 year or less,College degree,Woman
1293,25-34,126900.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
1294,45-54,65800.0,23500.0,21 - 30 years,11 - 20 years,College degree,Woman
1295,35-44,62040.0,4700.0,11 - 20 years,8 - 10 years,Master's degree,Woman
1296,35-44,55695.42,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1297,35-44,48299.99999999999,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
1298,35-44,96820.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
1299,18-24,64859.99999999999,1945.8,2 - 4 years,2 - 4 years,College degree,Woman
1300,35-44,65800.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1301,35-44,82908.0,39010.0,11 - 20 years,8 - 10 years,College degree,Woman
1302,25-34,41360.0,0.0,5-7 years,5-7 years,College degree,Woman
1303,35-44,118910.0,15980.0,11 - 20 years,11 - 20 years,College degree,Woman
1304,35-44,71886.5,940.0,11 - 20 years,11 - 20 years,College degree,Woman
1305,25-34,58750.0,0.0,2 - 4 years,2 - 4 years,Master's degree,Woman
1306,35-44,81462.28,16292.08,11 - 20 years,11 - 20 years,Master's degree,Woman
1307,35-44,43240.0,470.0,11 - 20 years,11 - 20 years,Some college,Woman
1308,45-54,62040.0,0.0,21 - 30 years,8 - 10 years,College degree,Woman
1309,25-34,56700.799999999996,2820.0,8 - 10 years,5-7 years,College degree,Woman
1310,25-34,47000.0,940.0,8 - 10 years,5-7 years,Some college,Woman
1312,35-44,90240.0,3760.0,11 - 20 years,8 - 10 years,Master's degree,Woman
1313,35-44,58750.0,0.0,11 - 20 years,11 - 20 years,College degree,Man
1314,35-44,67680.0,0.0,8 - 10 years,5-7 years,Master's degree,Woman
1315,25-34,138405.6,0.0,11 - 20 years,8 - 10 years,PhD,Woman
1316,35-44,141000.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1317,45-54,122200.0,9400.0,21 - 30 years,21 - 30 years,Master's degree,Man
1318,25-34,52170.0,940.0,8 - 10 years,5-7 years,College degree,Woman
1319,45-54,100580.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
1320,25-34,64859.99999999999,235.0,5-7 years,5-7 years,College degree,Woman
1321,25-34,47940.0,0.0,5-7 years,2 - 4 years,Master's degree,Woman
1322,45-54,56400.0,23500.0,11 - 20 years,8 - 10 years,College degree,Woman
1323,25-34,56117.06,0.0,8 - 10 years,2 - 4 years,Master's degree,Woman
1324,35-44,89300.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
1325,55-64,32000.0,0.0,21 - 30 years,11 - 20 years,Master's degree,Woman
1326,35-44,20680.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
1327,25-34,37600.0,940.0,8 - 10 years,2 - 4 years,College degree,Non-binary
1328,25-34,34403.06,0.0,2 - 4 years,5-7 years,Master's degree,Woman
1329,25-34,98700.0,2350.0,11 - 20 years,11 - 20 years,College degree,Woman
1330,35-44,64859.99999999999,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1331,35-44,53819.99999999999,0.0,11 - 20 years,8 - 10 years,College degree,Woman
1332,25-34,80840.0,0.0,11 - 20 years,8 - 10 years,College degree,Woman
1333,35-44,54520.0,188.0,11 - 20 years,11 - 20 years,College degree,Woman
1334,35-44,36190.0,0.0,21 - 30 years,11 - 20 years,Master's degree,Woman
1335,25-34,43000.0,4000.0,5-7 years,2 - 4 years,Master's degree,Woman
1336,35-44,84600.0,0.0,8 - 10 years,2 - 4 years,Master's degree,Woman
1337,35-44,69560.0,0.0,11 - 20 years,11 - 20 years,PhD,Woman
1338,25-34,38540.0,0.0,5-7 years,2 - 4 years,College degree,Woman
1339,18-24,37600.0,3760.0,1 year or less,1 year or less,College degree,Woman
1340,35-44,98230.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1341,25-34,51700.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
1342,35-44,159800.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
1343,35-44,235000.0,799000.0,11 - 20 years,11 - 20 years,Master's degree,Man
1344,25-34,67680.0,0.0,8 - 10 years,5-7 years,College degree,Woman
1345,35-44,140060.0,16920.0,8 - 10 years,8 - 10 years,College degree,Woman
1346,25-34,56400.0,0.0,5-7 years,5-7 years,Master's degree,Woman
1347,55-64,84180.0,3587.9999999999995,31 - 40 years,31 - 40 years,College degree,Man
1348,55-64,59220.0,0.0,21 - 30 years,21 - 30 years,Master's degree,Woman
1349,25-34,69000.0,0.0,5-7 years,2 - 4 years,College degree,Woman
1350,25-34,105280.0,18800.0,8 - 10 years,2 - 4 years,College degree,Woman
1351,35-44,90721.28,3196.0,5-7 years,5-7 years,PhD,Woman
1352,45-54,70500.0,0.0,21 - 30 years,11 - 20 years,PhD,Woman
1353,35-44,93060.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1354,25-34,74260.0,0.0,8 - 10 years,5-7 years,College degree,Woman
1355,25-34,39480.0,940.0,2 - 4 years,2 - 4 years,College degree,Woman
1356,25-34,63450.0,0.0,8 - 10 years,8 - 10 years,PhD,Woman
1357,35-44,68620.0,7520.0,8 - 10 years,8 - 10 years,College degree,Woman
1358,35-44,65800.0,0.0,11 - 20 years,8 - 10 years,College degree,Woman
1359,25-34,38352.0,0.0,11 - 20 years,8 - 10 years,College degree,Woman
1360,25-34,44850.0,0.0,5-7 years,2 - 4 years,Some college,Woman
1361,18-24,33238.4,0.0,1 year or less,1 year or less,Master's degree,Man
1362,35-44,36000.0,0.0,21 - 30 years,21 - 30 years,College degree,Woman
1363,45-54,37950.0,13799.999999999998,11 - 20 years,11 - 20 years,College degree,Woman
1364,25-34,35190.0,4140.0,8 - 10 years,2 - 4 years,Some college,Woman
1365,35-44,43199.52,0.0,11 - 20 years,5-7 years,Master's degree,Woman
1366,35-44,43240.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
1367,45-54,47000.0,1880.0,11 - 20 years,11 - 20 years,College degree,Woman
1368,25-34,69000.0,0.0,8 - 10 years,5-7 years,College degree,Woman
1369,35-44,139120.0,5640.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1370,25-34,71910.0,0.0,5-7 years,5-7 years,Master's degree,Woman
1371,25-34,46008.049999999996,0.0,5-7 years,2 - 4 years,Master's degree,Woman
1372,25-34,58844.0,1128.0,11 - 20 years,11 - 20 years,College degree,Man
1373,25-34,68150.0,5640.0,5-7 years,5-7 years,College degree,Woman
1374,35-44,44536.049999999996,0.0,5-7 years,8 - 10 years,PhD,Woman
1375,35-44,71393.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
1376,35-44,72662.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
1377,25-34,61100.0,0.0,5-7 years,5-7 years,Master's degree,Woman
1378,55-64,148520.0,28200.0,31 - 40 years,11 - 20 years,Master's degree,Man
1379,25-34,65800.0,0.0,8 - 10 years,5-7 years,College degree,Woman
1380,25-34,74260.0,0.0,8 - 10 years,8 - 10 years,College degree,Woman
1381,25-34,61100.0,940.0,5-7 years,2 - 4 years,College degree,Woman
1382,25-34,24440.0,0.0,5-7 years,5-7 years,College degree,Woman
1383,35-44,155100.0,0.0,11 - 20 years,11 - 20 years,College degree,Man
1384,45-54,58911.68,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1385,35-44,89864.0,1410.0,8 - 10 years,8 - 10 years,Master's degree,Woman
1386,25-34,47000.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1387,25-34,60160.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
1388,25-34,49820.0,0.0,8 - 10 years,2 - 4 years,Master's degree,Man
1389,25-34,65800.0,6580.0,8 - 10 years,8 - 10 years,College degree,Woman
1390,35-44,61100.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1391,25-34,39950.0,0.0,8 - 10 years,2 - 4 years,Master's degree,Woman
1392,35-44,77080.0,0.0,11 - 20 years,5-7 years,Master's degree,Woman
1393,35-44,71440.0,5640.0,11 - 20 years,11 - 20 years,College degree,Non-binary
1394,25-34,139120.0,17390.0,5-7 years,5-7 years,Master's degree,Non-binary
1395,35-44,31283.199999999997,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
1396,35-44,109040.0,0.0,11 - 20 years,2 - 4 years,PhD,Woman
1397,25-34,126900.0,94000.0,8 - 10 years,5-7 years,Master's degree,Woman
1398,35-44,120320.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1399,45-54,206800.0,28200.0,21 - 30 years,11 - 20 years,Master's degree,Woman
1400,45-54,117500.0,0.0,21 - 30 years,8 - 10 years,Master's degree,Woman
1401,25-34,41360.0,0.0,5-7 years,5-7 years,College degree,Woman
1402,35-44,141000.0,7050.0,11 - 20 years,5-7 years,Some college,Woman
1403,35-44,54520.0,0.0,11 - 20 years,11 - 20 years,PhD,Woman
1404,25-34,43700.0,0.0,8 - 10 years,2 - 4 years,College degree,Woman
1405,35-44,22560.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
1406,25-34,88360.0,0.0,8 - 10 years,5-7 years,Master's degree,Man
1407,35-44,61100.0,3760.0,8 - 10 years,2 - 4 years,Master's degree,Woman
1408,25-34,61100.0,4700.0,2 - 4 years,2 - 4 years,College degree,Woman
1409,25-34,28200.0,0.0,5-7 years,2 - 4 years,College degree,Man
1410,35-44,47000.0,0.0,5-7 years,2 - 4 years,PhD,Woman
1411,18-24,48880.0,0.0,1 year or less,1 year or less,College degree,Woman
1412,35-44,54745.6,1880.0,11 - 20 years,11 - 20 years,College degree,Woman
1413,45-54,69560.0,6580.0,21 - 30 years,11 - 20 years,High School,Woman
1414,25-34,64859.99999999999,9400.0,8 - 10 years,2 - 4 years,Some college,Woman
1415,25-34,73320.0,3760.0,11 - 20 years,11 - 20 years,Master's degree,Woman
1416,35-44,113740.0,16920.0,21 - 30 years,11 - 20 years,Master's degree,Woman
1417,45-54,108100.0,3760.0,11 - 20 years,11 - 20 years,College degree,Man
1418,35-44,47000.0,1880.0,11 - 20 years,8 - 10 years,High School,Woman
1419,25-34,60160.0,0.0,2 - 4 years,2 - 4 years,Master's degree,Woman
1420,35-44,65800.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
1421,25-34,44969.6,6580.0,5-7 years,5-7 years,College degree,Woman
1422,35-44,103400.0,0.0,5-7 years,5-7 years,PhD,Woman
1423,25-34,49820.0,1410.0,5-7 years,5-7 years,College degree,Woman
